old_id,new_id,class_name,count
2853,0,Prenolepis imparis,77
2958,1,Pyrrhocoris apterus,69
2008,2,Linepithema humile,66
2431,3,Oncopeltus fasciatus,58
2117,4,Marpesia petreus,58
3481,5,Vespula germanica,55
2091,6,Magicicada septendecim,53
2767,7,Plecia nearctica,52
2506,8,Oxythyrea funesta,52
530,9,Bombus rufocinctus,52
2979,10,Rhagonycha fulva,51
488,11,Boisea trivittata,51
2461,12,Orthemis ferruginea,51
1295,13,Enallagma cyathigerum,51
933,14,Coenagrion puella,50
454,15,Autographa gamma,50
3530,16,Xylocopa virginica,50
3011,17,Romalea microptera,50
3487,18,Vespula vulgaris,50
1689,19,Hetaerina americana,49
